i	sen	 p_x	p_y	px_gt	py_gt	px_sen	py_sen	v	v_gt	yaw	yaw_gt	yaw_rate	yaw_rate_gt	NIS
277	1	 -5.85125	-0.868487	-5.82456	-0.865006	-5.30947	-0.724468	5.17164	5.15249	4.25014	4.24737	-0.15007	-0.189554	5.22777
278	0	 -5.94508	-1.13065	-5.94118	-1.09472	-5.87835	-1.26863	5.19649	5.14919	4.25801	4.23789	-0.128722	-0.196027	1.30203
279	1	 -6.03162	-1.39386	-6.05993	-1.32316	-5.68069	-1.52871	5.21722	5.14579	4.26893	4.22809	-0.104803	-0.202468	2.77189
280	0	 -6.17145	-1.60321	-6.18087	-1.55025	-6.27263	-1.50938	5.2013	5.14231	4.24759	4.21797	-0.126943	-0.208879	1.07731
281	1	 -6.31717	-1.82843	-6.30406	-1.77593	-6.11355	-1.75966	5.22388	5.13873	4.20832	4.20752	-0.208	-0.215255	3.8904
282	0	 -6.42209	-2.07528	-6.42954	-2.00014	-6.34007	-2.13685	5.23432	5.13507	4.21082	4.19676	-0.190168	-0.221599	0.600556
283	1	 -6.57496	-2.27953	-6.55738	-2.22281	-6.99344	-2.17445	5.2173	5.13132	4.18813	4.18568	-0.203773	-0.227907	2.93405
284	0	 -6.72523	-2.4893	-6.68761	-2.44386	-6.79288	-2.4458	5.20984	5.12748	4.16701	4.17429	-0.218979	-0.234179	0.373165
285	1	 -6.88248	-2.69894	-6.82029	-2.66323	-7.14408	-2.67584	5.20907	5.12357	4.14332	4.16258	-0.239465	-0.240414	0.990653
286	0	 -6.97153	-2.96496	-6.95546	-2.88084	-6.8003	-3.10086	5.23347	5.11958	4.16429	4.15056	-0.19309	-0.246611	2.81069
287	1	 -7.10023	-3.19037	-7.09316	-3.09663	-7.13937	-3.22028	5.22636	5.11551	4.16346	4.13823	-0.172818	-0.252769	0.278006
288	0	 -7.2252	-3.3918	-7.23344	-3.3105	-7.12118	-3.26434	5.19922	5.11137	4.15272	4.12559	-0.176802	-0.258887	1.37596
289	1	 -7.37036	-3.63411	-7.37632	-3.5224	-7.77186	-4.08999	5.22452	5.10717	4.14952	4.11264	-0.166695	-0.264964	4.4778
290	0	 -7.53271	-3.7835	-7.52184	-3.73223	-7.49009	-3.49081	5.1649	5.10289	4.11099	4.09939	-0.210369	-0.271	4.76546
291	1	 -7.67794	-3.99152	-7.67004	-3.93992	-7.52393	-3.88213	5.16307	5.09855	4.09804	4.08584	-0.216903	-0.276993	0.457581
292	0	 -7.83069	-4.21717	-7.82094	-4.14538	-7.88049	-4.29783	5.18	5.09414	4.09111	4.07199	-0.210958	-0.282942	0.4627
293	1	 -7.98136	-4.43421	-7.97457	-4.34854	-8.08524	-4.57834	5.1848	5.08968	4.08445	4.05785	-0.203558	-0.288846	0.391693
294	0	 -8.14004	-4.66855	-8.13095	-4.5493	-8.22492	-4.79812	5.21201	5.08516	4.08052	4.04341	-0.194146	-0.294705	1.23506
295	1	 -8.2769	-4.88127	-8.2901	-4.74759	-8.453	-4.95621	5.18482	5.08058	4.08985	4.02867	-0.149868	-0.300517	2.5778
296	0	 -8.40773	-5.10249	-8.45204	-4.94331	-8.33552	-5.1059	5.18415	5.07596	4.0939	4.01365	-0.133831	-0.306282	0.300805
297	1	 -8.55236	-5.28338	-8.61678	-5.13637	-8.55062	-4.79248	5.13697	5.07128	4.08887	3.99833	-0.117932	-0.311998	4.28414
298	0	 -8.74565	-5.47747	-8.78433	-5.32669	-8.91477	-5.51752	5.14805	5.06656	4.06225	3.98273	-0.146468	-0.317665	1.64151
299	1	 -8.90226	-5.67941	-8.95469	-5.51417	-9.04115	-5.69364	5.13989	5.0618	4.05718	3.96685	-0.13859	-0.323282	0.412206
300	0	 -9.06138	-5.8666	-9.12788	-5.69872	-9.03391	-5.80267	5.12704	5.057	4.04428	3.95068	-0.147015	-0.328848	0.257251
301	1	 -9.19696	-6.03977	-9.30388	-5.88026	-8.86897	-5.41973	5.07183	5.05217	4.04465	3.93424	-0.125013	-0.334362	7.01811
302	0	 -9.3854	-6.14643	-9.4827	-6.05868	-9.30811	-5.82368	5.00918	5.0473	3.99606	3.91752	-0.184225	-0.339823	6.10276
303	1	 -9.5579	-6.33262	-9.66432	-6.23389	-9.80646	-6.41174	5.00678	5.0424	3.9853	3.90053	-0.183421	-0.34523	0.882286
304	0	 -9.69855	-6.53854	-9.84874	-6.4058	-9.62547	-6.55958	5.00824	5.03748	3.993	3.88327	-0.160138	-0.350583	0.360905
305	1	 -9.92251	-6.69269	-10.0359	-6.57431	-10.6688	-6.35543	5.02611	5.03253	3.94723	3.86574	-0.217825	-0.355881	6.68846
306	0	 -10.1296	-6.84971	-10.2259	-6.73933	-10.2246	-6.83402	5.027	5.02756	3.91593	3.84795	-0.245846	-0.361122	0.564937
307	1	 -10.3144	-7.01112	-10.4186	-6.90075	-10.2205	-6.71044	5.02463	5.02257	3.89596	3.82989	-0.258622	-0.366307	1.10014
308	0	 -10.5445	-7.18049	-10.614	-7.05849	-10.7616	-7.29159	5.05389	5.01757	3.86542	3.81158	-0.281913	-0.371433	3.08536
309	1	 -10.7524	-7.31981	-10.8121	-7.21245	-10.8944	-6.83335	5.04899	5.01256	3.83405	3.793	-0.307128	-0.376501	1.96153
310	0	 -10.9976	-7.47184	-11.0128	-7.36252	-11.2219	-7.56979	5.07806	5.00754	3.79783	3.77418	-0.334632	-0.381509	3.13144
311	1	 -11.1893	-7.61248	-11.2161	-7.50862	-10.986	-7.3707	5.05372	5.00251	3.78046	3.7551	-0.335181	-0.386458	1.37008
312	0	 -11.3376	-7.77304	-11.422	-7.65064	-11.0934	-7.6776	5.02159	4.99749	3.7876	3.73578	-0.303874	-0.391345	3.6044
313	1	 -11.5366	-7.89967	-11.6304	-7.78849	-11.4213	-7.46085	4.99847	4.99246	3.76417	3.71621	-0.315397	-0.39617	2.02134
314	0	 -11.7206	-8.00595	-11.8413	-7.92208	-11.5269	-7.8215	4.9582	4.98744	3.73919	3.6964	-0.329898	-0.400933	3.65613
315	1	 -11.9209	-8.11878	-12.0546	-8.05131	-11.9422	-7.88317	4.9148	4.98243	3.71418	3.67636	-0.342068	-0.405632	2.45694
316	0	 -12.139	-8.20765	-12.2702	-8.17609	-12.09	-8.08828	4.89704	4.97743	3.6753	3.65608	-0.372643	-0.410268	0.939764
317	1	 -12.3625	-8.33015	-12.4881	-8.29633	-12.4462	-8.02117	4.92779	4.97244	3.65443	3.63556	-0.373158	-0.414838	2.25947
318	0	 -12.568	-8.41083	-12.7082	-8.41193	-12.4231	-8.2599	4.89762	4.96747	3.62175	3.61482	-0.393812	-0.419343	2.26276
319	1	 -12.7833	-8.491	-12.9304	-8.5228	-12.7461	-8.19449	4.86011	4.96252	3.5862	3.59385	-0.420226	-0.423782	2.12852
320	0	 -13.0542	-8.57655	-13.1547	-8.62886	-13.2911	-8.64594	4.89603	4.9576	3.54331	3.57266	-0.447671	-0.428154	3.19541
321	1	 -13.3001	-8.6716	-13.381	-8.73002	-13.7929	-8.47158	4.92582	4.9527	3.51924	3.55126	-0.444859	-0.432459	2.46149
322	0	 -13.5217	-8.71873	-13.6092	-8.82619	-13.384	-8.57583	4.9	4.94783	3.47947	3.52963	-0.470199	-0.436695	2.05745
323	1	 -13.7515	-8.7474	-13.8392	-8.91729	-13.6376	-8.26344	4.85796	4.943	3.42552	3.5078	-0.522465	-0.440862	3.89885
324	0	 -13.9687	-8.86747	-14.0709	-9.00324	-13.9959	-8.99264	4.86391	4.9382	3.43012	3.48576	-0.480935	-0.444959	1.01711
325	1	 -14.212	-8.96046	-14.3043	-9.08395	-14.4737	-8.79552	4.90369	4.93344	3.4261	3.46351	-0.440005	-0.448987	2.8116
326	0	 -14.4286	-9.07917	-14.5391	-9.15936	-14.4273	-9.1875	4.90236	4.92872	3.43399	3.44106	-0.400409	-0.452943	0.776529
327	1	 -14.6599	-9.14765	-14.7754	-9.22939	-14.5757	-9.32634	4.89413	4.92404	3.41299	3.41841	-0.404733	-0.456828	0.266528
328	0	 -14.9396	-9.14207	-15.013	-9.29397	-15.062	-9.04396	4.91839	4.91942	3.35054	3.39557	-0.459038	-0.46064	1.63155
329	1	 -15.1932	-9.2174	-15.2517	-9.35302	-15.6189	-9.69365	4.94103	4.91484	3.34072	3.37254	-0.437892	-0.46438	4.49848
330	0	 -15.4476	-9.34064	-15.4916	-9.40649	-15.6682	-9.56749	4.97054	4.91032	3.35562	3.34932	-0.387386	-0.468047	5.3489
331	1	 -15.6949	-9.36571	-15.7324	-9.45431	-15.9382	-9.35751	4.95431	4.90586	3.3148	3.32592	-0.428107	-0.47164	1.92548
332	0	 -15.9467	-9.45569	-15.9741	-9.49642	-16.0862	-9.59819	4.97142	4.90145	3.31747	3.30234	-0.395288	-0.475158	2.13374
333	1	 -16.2007	-9.46027	-16.2164	-9.53277	-16.6033	-8.85459	4.9661	4.89711	3.2728	3.27858	-0.436041	-0.478601	2.276
334	0	 -16.4522	-9.4529	-16.4594	-9.5633	-16.4229	-9.37029	4.96676	4.89283	3.23175	3.25465	-0.461227	-0.481969	0.470275
335	1	 -16.6787	-9.44462	-16.7027	-9.58797	-16.011	-9.33486	4.93547	4.88862	3.19149	3.23055	-0.493637	-0.48526	5.20886
336	0	 -16.9553	-9.43305	-16.9464	-9.60673	-17.1132	-9.43043	4.96544	4.88449	3.15377	3.20629	-0.508296	-0.488475	1.32452
337	1	 -17.2038	-9.4994	-17.1903	-9.61954	-16.9255	-10.8571	4.97656	4.88042	3.16874	3.18186	-0.444817	-0.491613	7.9969
338	0	 -17.4615	-9.52019	-17.4342	-9.62636	-17.5448	-9.57485	4.9867	4.87643	3.15425	3.15728	-0.434123	-0.494673	0.517173
339	1	 -17.7192	-9.50753	-17.6781	-9.62717	-18.1371	-9.39146	4.98987	4.87252	3.12007	3.13255	-0.458142	-0.497655	1.69045
340	0	 -17.973	-9.47491	-17.9216	-9.62194	-17.9724	-9.42299	4.99566	4.86868	3.08508	3.10767	-0.473161	-0.500558	0.175836
341	1	 -18.2198	-9.43202	-18.1648	-9.61064	-18.3083	-9.18778	4.98848	4.86493	3.04162	3.08264	-0.50986	-0.503383	0.660882
342	0	 -18.4298	-9.47753	-18.4074	-9.59325	-18.2763	-9.60997	4.94338	4.86127	3.05216	3.05747	-0.467732	-0.506127	2.51631
343	1	 -18.6673	-9.46447	-18.6493	-9.56977	-18.2443	-9.58547	4.93895	4.85769	3.04056	3.03216	-0.444017	-0.508793	1.69829
344	0	 -18.9148	-9.45917	-18.8904	-9.54017	-18.9545	-9.51544	4.93869	4.85421	3.02907	3.00672	-0.430493	-0.511377	0.271091
345	1	 -19.1466	-9.41926	-19.1305	-9.50447	-18.6983	-9.02886	4.93048	4.85081	3.0072	2.98115	-0.4248	-0.513881	3.98324
346	0	 -19.3885	-9.30016	-19.3694	-9.46265	-19.2983	-9.09865	4.94287	4.84751	2.94637	2.95546	-0.473883	-0.516304	2.92011
347	1	 -19.624	-9.21841	-19.6069	-9.41472	-19.7037	-8.79906	4.93705	4.84431	2.89922	2.92964	-0.517146	-0.518645	1.07793
348	0	 -19.8701	-9.09821	-19.8431	-9.36071	-19.8731	-8.96417	4.95795	4.8412	2.84682	2.90371	-0.548689	-0.520904	1.14469
349	1	 -20.1062	-8.99768	-20.0775	-9.30061	-20.3815	-7.6755	4.96595	4.8382	2.8101	2.87767	-0.555895	-0.523081	4.89781
350	0	 -20.2985	-9.11648	-20.3102	-9.23446	-20.1607	-9.59663	4.86552	4.83529	2.87012	2.85151	-0.457092	-0.525176	15.6692
351	1	 -20.5385	-9.07225	-20.5409	-9.16227	-20.4587	-9.7448	4.86693	4.83249	2.86191	2.82525	-0.433479	-0.527187	1.52884
352	0	 -20.7579	-8.97979	-20.7696	-9.08409	-20.6596	-8.91527	4.86102	4.8298	2.82887	2.79889	-0.447951	-0.529115	0.738406
353	1	 -20.9988	-8.89666	-20.9959	-8.99994	-21.5568	-8.5005	4.87189	4.82722	2.8014	2.77244	-0.459115	-0.53096	2.3187
354	0	 -21.1983	-8.82711	-21.2198	-8.90987	-21.0195	-8.85081	4.83799	4.82474	2.78159	2.74589	-0.457806	-0.532721	1.68942
355	1	 -21.4313	-8.73533	-21.4412	-8.81393	-21.8628	-8.64129	4.84471	4.82237	2.75247	2.71925	-0.473661	-0.534397	1.81008
356	0	 -21.6305	-8.70754	-21.6597	-8.71217	-21.5029	-8.87191	4.7942	4.82012	2.7546	2.69253	-0.445783	-0.53599	2.54593
357	1	 -21.8245	-8.54992	-21.8754	-8.60465	-21.9514	-7.41274	4.78506	4.81798	2.67872	2.66574	-0.547763	-0.537498	6.52684
358	0	 -22.0278	-8.47685	-22.0881	-8.49143	-21.9793	-8.57089	4.75979	4.81595	2.66558	2.63886	-0.532226	-0.53892	0.669943
359	1	 -22.2385	-8.36583	-22.2975	-8.37258	-22.1914	-7.70392	4.7636	4.81404	2.64837	2.61191	-0.506048	-0.540258	1.95598
360	0	 -22.4646	-8.27735	-22.5035	-8.24817	-22.5838	-8.35296	4.76728	4.81225	2.63709	2.5849	-0.488864	-0.54151	1.07123
361	1	 -22.6586	-8.1522	-22.7061	-8.11829	-22.3177	-8.57758	4.757	4.81058	2.60172	2.55783	-0.511982	-0.542677	1.03585
362	0	 -22.8787	-7.93319	-22.9049	-7.98301	-22.9861	-7.6724	4.82432	4.80903	2.54167	2.53069	-0.548013	-0.543759	4.71294
363	1	 -23.0695	-7.77943	-23.1	-7.84243	-23.2693	-8.32031	4.82302	4.80759	2.48959	2.5035	-0.606645	-0.544754	3.26639
364	0	 -23.2888	-7.61411	-23.2911	-7.69663	-23.4777	-7.56583	4.85935	4.80628	2.45925	2.47627	-0.603485	-0.545663	1.97746
365	1	 -23.4895	-7.47767	-23.4781	-7.54572	-23.473	-7.02103	4.86284	4.80509	2.45715	2.44898	-0.540394	-0.546486	1.96147
366	0	 -23.6569	-7.33067	-23.6609	-7.3898	-23.5408	-7.36069	4.84103	4.80403	2.42924	2.42166	-0.543431	-0.547223	0.747888
367	1	 -23.8473	-7.17311	-23.8393	-7.22897	-24.0505	-6.56968	4.84816	4.80309	2.41172	2.3943	-0.520608	-0.547873	0.928929
368	0	 -24.015	-7.06999	-24.0132	-7.06336	-23.9384	-7.26171	4.79794	4.80227	2.40366	2.3669	-0.504438	-0.548437	2.44815
369	1	 -24.1815	-6.88713	-24.1825	-6.89307	-24.3577	-5.94086	4.80351	4.80158	2.3641	2.33948	-0.530561	-0.548915	1.87876
370	0	 -24.3346	-6.64863	-24.347	-6.71823	-24.2574	-6.4352	4.8401	4.80101	2.31164	2.31204	-0.557405	-0.549305	2.98725
371	1	 -24.5017	-6.47227	-24.5066	-6.53896	-24.788	-7.18367	4.84129	4.80057	2.27801	2.28457	-0.57952	-0.549609	3.42891
372	0	 -24.6066	-6.31781	-24.6612	-6.35538	-24.3008	-6.43799	4.77947	4.80025	2.24535	2.25709	-0.589229	-0.549826	5.64041
373	1	 -24.748	-6.12661	-24.8107	-6.16764	-24.6108	-6.00878	4.77794	4.80006	2.21496	2.2296	-0.588349	-0.549957	0.316931
374	0	 -24.9258	-5.93318	-24.955	-5.97587	-25.146	-5.91902	4.80508	4.8	2.19602	2.2021	-0.573925	-0.55	2.52906
375	1	 -25.0565	-5.72886	-25.094	-5.7802	-24.8975	-5.02285	4.80665	4.80006	2.16688	2.1746	-0.567677	-0.549957	1.85583
376	0	 -25.1907	-5.55382	-25.2276	-5.58079	-25.1941	-5.64372	4.78653	4.80025	2.14586	2.1471	-0.561128	-0.549826	0.462328
377	1	 -25.3448	-5.36836	-25.3556	-5.37777	-25.5328	-5.4399	4.78917	4.80057	2.14383	2.11961	-0.506981	-0.549609	1.30846
378	0	 -25.4859	-5.15315	-25.4779	-5.1713	-25.5713	-5.10241	4.80912	4.80101	2.11973	2.09213	-0.503876	-0.549305	0.519738
379	1	 -25.6195	-4.97125	-25.5946	-4.96152	-25.0178	-6.55904	4.79371	4.80158	2.11889	2.06467	-0.45012	-0.548915	6.3011
380	0	 -25.7366	-4.79366	-25.7055	-4.7486	-25.6952	-4.89995	4.76493	4.80227	2.10123	2.03722	-0.446834	-0.548437	0.72163
381	1	 -25.8568	-4.58732	-25.8105	-4.53268	-25.8162	-4.40681	4.76595	4.80309	2.08309	2.0098	-0.435712	-0.547873	0.156066
382	0	 -25.9668	-4.35449	-25.9096	-4.31392	-25.9516	-4.26659	4.78572	4.80403	2.05457	1.98241	-0.442025	-0.547223	0.450527
383	1	 -26.0738	-4.13446	-26.0027	-4.0925	-26.8953	-4.43966	4.79147	4.80509	2.00434	1.95504	-0.521066	-0.546486	11.2486
384	0	 -26.1604	-3.86513	-26.0897	-3.86856	-26.1198	-3.67723	4.83399	4.80628	1.96414	1.92772	-0.534372	-0.545663	2.08642
385	1	 -26.2331	-3.63037	-26.1706	-3.64227	-26.5652	-3.85723	4.83738	4.8076	1.90792	1.90044	-0.607429	-0.544754	3.44079
386	0	 -26.2596	-3.36534	-26.2453	-3.41381	-25.9974	-3.24722	4.84821	4.80903	1.854	1.8732	-0.633201	-0.543759	4.4453
387	1	 -26.3091	-3.12448	-26.3138	-3.18332	-26.2976	-3.01078	4.85057	4.81058	1.80723	1.84601	-0.666429	-0.542677	0.361784
388	0	 -26.3326	-2.88397	-26.376	-2.95098	-26.1741	-2.87885	4.84218	4.81225	1.76304	1.81888	-0.679284	-0.54151	1.32514
389	1	 -26.3925	-2.65726	-26.4319	-2.71697	-26.4681	-3.44967	4.83558	4.81404	1.74385	1.7918	-0.650543	-0.540258	1.50226
390	0	 -26.4714	-2.48382	-26.4815	-2.48143	-26.674	-2.73852	4.78351	4.81595	1.73389	1.76479	-0.63057	-0.53892	5.81658
391	1	 -26.528	-2.24858	-26.5247	-2.24456	-26.657	-1.72382	4.78661	4.81798	1.72149	1.73784	-0.587954	-0.537498	1.10295
392	0	 -26.5788	-2.04388	-26.5616	-2.0065	-26.6691	-2.17333	4.75856	4.82012	1.7019	1.71097	-0.579656	-0.53599	1.36683
393	1	 -26.6106	-1.80571	-26.5921	-1.76744	-26.3248	-1.32261	4.75903	4.82237	1.68563	1.68417	-0.543924	-0.534397	2.00293
394	0	 -26.6078	-1.56092	-26.6161	-1.52753	-26.4671	-1.53207	4.76079	4.82474	1.64789	1.65745	-0.55553	-0.532721	1.09506
395	1	 -26.6044	-1.32765	-26.6338	-1.28695	-26.4998	-2.19526	4.75492	4.82721	1.60329	1.63081	-0.594074	-0.53096	1.69587
396	0	 -26.6075	-1.10014	-26.6451	-1.04586	-26.5998	-1.14277	4.7439	4.8298	1.57373	1.60426	-0.594785	-0.529115	0.10279
397	1	 -26.6375	-0.871391	-26.65	-0.804425	-27.2008	-1.67679	4.73956	4.83249	1.56064	1.57781	-0.569364	-0.527187	5.21829
398	0	 -26.6481	-0.627539	-26.6485	-0.562811	-26.7355	-0.59539	4.74978	4.83529	1.53812	1.55145	-0.561927	-0.525176	0.458694
399	1	 -26.6349	-0.3873	-26.6406	-0.321181	-26.9891	0.0351487	4.75665	4.8382	1.49793	1.52519	-0.596077	-0.523081	2.19895
400	0	 -26.5883	-0.110222	-26.6264	-0.0796947	-26.4553	0.0602653	4.79818	4.8412	1.45774	1.49904	-0.604632	-0.520904	2.53498
401	1	 -26.5691	0.127524	-26.6059	0.161489	-26.9537	0.136943	4.80035	4.84431	1.42834	1.47299	-0.610313	-0.518645	1.74763
402	0	 -26.5456	0.40446	-26.5792	0.402213	-26.6201	0.57588	4.84485	4.84751	1.40357	1.44706	-0.600565	-0.516304	1.90514
403	1	 -26.5342	0.642226	-26.5462	0.642323	-26.8241	0.381506	4.84	4.85081	1.39813	1.42124	-0.550341	-0.513881	1.76405
404	0	 -26.528	0.914566	-26.5069	0.881666	-26.7293	1.06082	4.8776	4.85421	1.38627	1.39555	-0.530176	-0.511377	3.32203
405	1	 -26.4908	1.16745	-26.4616	1.12009	-25.9562	2.60409	4.88565	4.85769	1.38292	1.36998	-0.468344	-0.508793	7.04969
406	0	 -26.4354	1.40954	-26.4101	1.35745	-26.3986	1.42212	4.88916	4.86127	1.35702	1.34454	-0.470871	-0.506127	0.0801785
407	1	 -26.396	1.63328	-26.3526	1.59361	-26.5072	-0.563928	4.86964	4.86493	1.34554	1.31923	-0.444985	-0.503383	8.00732
408	0	 -26.342	1.85524	-26.2891	1.82841	-26.3594	1.79315	4.85337	4.86868	1.32358	1.29407	-0.445553	-0.500558	0.22742
409	1	 -26.2729	2.08592	-26.2197	2.06173	-26.3475	1.82827	4.85228	4.87252	1.29236	1.26904	-0.46715	-0.497655	0.307496
410	0	 -26.2106	2.29282	-26.1444	2.29342	-26.2502	2.18481	4.82357	4.87643	1.26978	1.24416	-0.467716	-0.494673	0.722383
411	1	 -26.1476	2.52326	-26.0633	2.52336	-26.069	2.27896	4.81927	4.88042	1.26029	1.21942	-0.43383	-0.491613	0.626186
412	0	 -26.0705	2.76233	-25.9765	2.75141	-26.0641	2.80701	4.83095	4.88449	1.23915	1.19484	-0.432651	-0.488475	0.111868
413	1	 -25.974	2.98362	-25.8841	2.97746	-26.3234	3.02388	4.83495	4.88862	1.19151	1.17042	-0.499173	-0.48526	3.08983
414	0	 -25.8751	3.24789	-25.7861	3.20139	-25.8345	3.42005	4.88056	4.89283	1.16831	1.14615	-0.495032	-0.481969	1.71641
415	1	 -25.7924	3.47541	-25.6826	3.42306	-26.1824	3.73376	4.88216	4.89711	1.14782	1.12206	-0.493698	-0.478601	2.13166
416	0	 -25.6856	3.68453	-25.5737	3.64239	-25.6666	3.63509	4.87037	4.90145	1.12029	1.09813	-0.497503	-0.475158	0.154506
417	1	 -25.5685	3.89343	-25.4596	3.85924	-25.5773	3.13316	4.86499	4.90586	1.08805	1.07437	-0.512067	-0.47164	1.11389
418	0	 -25.4988	4.08772	-25.3402	4.07353	-25.7492	3.99968	4.82992	4.91032	1.07584	1.05079	-0.49882	-0.468047	3.71975
419	1	 -25.3751	4.29217	-25.2157	4.28514	-25.3516	3.75691	4.8261	4.91484	1.04618	1.02738	-0.507131	-0.46438	0.615081
420	0	 -25.216	4.50367	-25.0863	4.49399	-25.0214	4.52803	4.84349	4.91942	1.00913	1.00417	-0.519452	-0.46064	2.02195
421	1	 -25.0656	4.70209	-24.9518	4.69998	-24.2719	4.30917	4.83979	4.92404	0.987485	0.981133	-0.49286	-0.456828	8.99055
422	0	 -24.9463	4.89951	-24.8126	4.90303	-25.0363	4.88499	4.83033	4.92872	0.9679	0.958291	-0.487629	-0.452943	0.436271
423	1	 -24.7901	5.09106	-24.6686	5.10304	-24.3609	4.95947	4.83139	4.93344	0.938013	0.935644	-0.491358	-0.448987	2.31736
424	0	 -24.6239	5.29696	-24.5201	5.29995	-24.5041	5.35293	4.85389	4.9382	0.90901	0.913195	-0.495153	-0.444959	0.920842
425	1	 -24.4519	5.47276	-24.367	5.49367	-24.4379	5.24592	4.85767	4.943	0.862069	0.890947	-0.543542	-0.440862	0.900159
426	0	 -24.2644	5.64463	-24.2095	5.68414	-24.1159	5.61152	4.86131	4.94783	0.823909	0.868904	-0.555911	-0.436695	1.22274
427	1	 -24.0981	5.80778	-24.0477	5.8713	-24.5638	4.75836	4.85318	4.9527	0.78666	0.847069	-0.579995	-0.432459	3.12194
428	0	 -23.9228	5.9699	-23.8818	6.05508	-23.9153	5.94377	4.84748	4.9576	0.755413	0.825446	-0.582965	-0.428154	0.041616
429	1	 -23.7788	6.16338	-23.7117	6.23542	-23.5491	6.44495	4.83311	4.96252	0.773861	0.804038	-0.474649	-0.423782	4.89661
430	0	 -23.6102	6.32203	-23.5377	6.41227	-23.6471	6.29102	4.82219	4.96747	0.749782	0.782849	-0.475776	-0.419343	0.124293
431	1	 -23.46	6.50299	-23.3598	6.58559	-23.7544	6.53746	4.81338	4.97244	0.751367	0.761882	-0.425148	-0.414838	1.76602
432	0	 -23.2439	6.70612	-23.1781	6.75533	-23.0099	6.86182	4.8738	4.97743	0.730374	0.74114	-0.421338	-0.410268	4.19611
433	1	 -23.0469	6.85079	-22.9928	6.92146	-22.7862	5.74143	4.86611	4.98243	0.705357	0.720627	-0.417864	-0.405632	5.5081
434	0	 -22.837	7.01787	-22.804	7.08393	-22.6991	7.063	4.89139	4.98744	0.681269	0.700345	-0.420301	-0.400933	1.10044
435	1	 -22.6246	7.15053	-22.6117	7.24273	-22.418	6.76159	4.89471	4.99246	0.641593	0.680299	-0.454695	-0.39617	1.62882
436	0	 -22.439	7.29972	-22.4161	7.39782	-22.5083	7.31524	4.89044	4.99749	0.623584	0.66049	-0.449438	-0.391345	0.264366
437	1	 -22.2116	7.41777	-22.2173	7.54917	-22.0543	7.85452	4.9079	5.00251	0.566283	0.640923	-0.526651	-0.386458	2.71444
438	0	 -22.0312	7.58107	-22.0154	7.69679	-22.1947	7.69478	4.91397	5.00754	0.558055	0.6216	-0.50533	-0.381509	2.14121
439	1	 -21.8483	7.75161	-21.8105	7.84064	-21.6178	9.0351	4.91307	5.01256	0.570054	0.602525	-0.431902	-0.376501	5.72584
440	0	 -21.6414	7.89537	-21.6026	7.98072	-21.6473	7.94	4.92231	5.01757	0.553256	0.583699	-0.425785	-0.371433	0.11712
441	1	 -21.4492	8.0331	-21.392	8.11703	-21.8637	7.78661	4.91184	5.02257	0.545054	0.565128	-0.401693	-0.366307	1.52762
442	0	 -21.216	8.08172	-21.1787	8.24957	-21.0853	7.83229	4.87432	5.02756	0.493665	0.546812	-0.440188	-0.361122	4.50191
443	1	 -21.0236	8.24372	-20.9628	8.37833	-20.5503	9.28616	4.87036	5.03253	0.517568	0.528756	-0.343983	-0.355881	6.1238
444	0	 -20.8452	8.39725	-20.7444	8.50333	-21.0519	8.50983	4.86635	5.03748	0.520256	0.510962	-0.320508	-0.350583	2.95032
445	1	 -20.6057	8.50116	-20.5237	8.62457	-19.9265	9.40847	4.88919	5.0424	0.478753	0.493433	-0.374517	-0.34523	4.58136
446	0	 -20.3625	8.63053	-20.3006	8.74206	-20.21	8.68914	4.9233	5.0473	0.461448	0.476172	-0.371679	-0.339823	1.40803
447	1	 -20.1618	8.7674	-20.0753	8.85583	-20.2277	8.8532	4.91258	5.05217	0.473862	0.459181	-0.307041	-0.334362	1.55707
448	0	 -19.9597	8.87471	-19.848	8.96589	-20.0633	8.86724	4.89582	5.057	0.460841	0.442462	-0.304801	-0.328848	0.558687
449	1	 -19.7566	9.00211	-19.6186	9.07227	-19.9264	8.78179	4.88457	5.0618	0.46956	0.42602	-0.253707	-0.323282	1.15246
450	0	 -19.5318	9.07705	-19.3873	9.17499	-19.4861	8.96665	4.86901	5.06656	0.443067	0.409856	-0.27032	-0.317665	0.815387
451	1	 -19.2934	9.18015	-19.1542	9.27409	-18.5719	10.2069	4.89029	5.07128	0.419064	0.393973	-0.294682	-0.311998	4.45663
452	0	 -19.0148	9.26062	-18.9193	9.36959	-18.6786	9.19191	4.92889	5.07596	0.38771	0.378373	-0.313375	-0.306282	6.10211
453	1	 -18.7949	9.34688	-18.6827	9.46154	-19.2825	8.98189	4.92038	5.08058	0.368491	0.363059	-0.323426	-0.300517	1.68941
454	0	 -18.5446	9.4434	-18.4446	9.54996	-18.4242	9.46852	4.94457	5.08516	0.352517	0.348033	-0.322576	-0.294705	0.7925
455	1	 -18.2808	9.46732	-18.2049	9.63492	-18.1634	8.72444	4.95687	5.08968	0.286624	0.333298	-0.41886	-0.288846	6.04154
456	0	 -18.0019	9.58419	-17.9639	9.71643	-17.7736	9.72478	5.02141	5.09414	0.278504	0.318855	-0.401574	-0.282942	3.91497
457	1	 -17.7591	9.67318	-17.7214	9.79457	-17.2296	9.97767	5.0224	5.09855	0.280492	0.304708	-0.351817	-0.276993	2.90867
